latitude,longitude,number_of_bikes,station_name,restaurant_name,categories,address,review_count,rating,distance
43.33699934605541,11.300974983606013,9,Acquacalda,Fontebecci,"Pizzeria, italian restaurant",Via fiorentina 133,,,668.0
43.33699934605541,11.300974983606013,9,Acquacalda,Ristorante il mestolo,"Italian restaurant, seafood restaurant",Via fiorentina 81,,,502.0
43.33699934605541,11.300974983606013,9,Acquacalda,Bar le terrazze,"Café, restaurant",Via quinto settano 19,,,534.0
43.33699934605541,11.300974983606013,9,Acquacalda,Pizzeria poppi,Pizzeria,Via fiorentina 105,,,610.0
43.33699934605541,11.300974983606013,9,Acquacalda,Ristorante pizzeria il jolly,"Pizzeria, italian restaurant",Via fiorentina 13,,,675.0
43.33699934605541,11.300974983606013,9,Acquacalda,Osteria tanaliberatutti,"Deli, italian restaurant",Via uopini 1,,,851.0
43.33699934605541,11.300974983606013,9,Acquacalda,Bistrot,Restaurant,Viale franceschi 14,,,2789.0
43.323781022808305,11.338891018177035,10,Ravacciano,La taverna di san giuseppe,Tuscan,Via giovanni dupre 132,169.0,4.8,1091.2645488726173
43.323781022808305,11.338891018177035,10,Ravacciano,Il bargello,"Bars, trattorie, tuscan",Via di citta' 53,23.0,4.5,924.5368214670108
43.323781022808305,11.338891018177035,10,Ravacciano,La prosciutteria,"Wine bars, tuscan",Via di pantaneto,34.0,4.7,708.3897199292325
43.323781022808305,11.338891018177035,10,Ravacciano,Zest,"Italian, wine bars",Costa di sant'antonio 13,26.0,4.7,905.5277371590556
43.323781022808305,11.338891018177035,10,Ravacciano,Antica osteria da divo,Italian,Via franciosa 25,67.0,4.2,1099.3592533313006
43.323781022808305,11.338891018177035,10,Ravacciano,Fonte giusta,Tuscan,Via camollia 102,21.0,4.6,970.637496752018
43.323781022808305,11.338891018177035,10,Ravacciano,Antica trattoria papei,"Tuscan, trattorie",Via del mercato 6,35.0,4.2,874.5097588030465
43.323781022808305,11.338891018177035,10,Ravacciano,Vi vace,"Pizza, italian",Via stalloreggi 64,34.0,4.3,1275.8530057264636
43.323781022808305,11.338891018177035,10,Ravacciano,Compagnia dei vinattieri,Tuscan,"Via delle terme, 79",24.0,4.3,811.9349826688245
43.323781022808305,11.338891018177035,10,Ravacciano,Numero unico,Italian,Via di citta 125,17.0,4.5,1073.3183974538183
